id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
593,Section 4,Yes,11-10-2018,11-10-18,2:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,25-10-18,23-10-18,Low
594,Section 4,No,14-08-2018,11-10-18,11:33:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-10-18,11-10-18,N/A
595,Section 4,No,16-08-2018,11-10-18,2:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-10-18,11-10-18,N/A
596,Section 4,No,16-08-2018,11-10-18,9:32:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-10-18,11-10-18,N/A
597,Section 4,No,01-08-2018,11-10-18,1:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-10-18,11-10-18,N/A
598,Section 4,No,09-08-2018,11-10-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-10-18,11-10-18,N/A
599,Section 2,No,12-10-2018,12-10-18,3:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,26-10-18,,Low
600,Section 4,No,03-10-2018,11-10-18,12:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
601,Section 4,No,04-10-2018,11-10-18,1:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
602,Section 4,No,04-10-2018,11-10-18,12:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
603,Section 4,No,04-10-2018,11-10-18,11:05:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
604,Section 4,No,04-10-2018,11-10-18,9:35:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
605,Section 4,No,05-10-2018,11-10-18,11:20:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
606,Section 4,No,07-10-2018,11-10-18,11:18:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
607,Section 4,No,07-10-2018,11-10-18,9:38:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
608,Section 4,No,07-10-2018,11-10-18,3:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
609,Section 4,No,07-10-2018,11-10-18,8:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-10-18,N/A
610,Section 4,No,15-10-2018,15-10-18,8:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck by a moving vehicle,0,29-10-18,24-10-18,Low
611,Section 5,No,09-10-2018,15-10-18,9:39:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,18-08-18,N/A
612,Section 5,No,09-10-2018,15-10-18,5:42:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,15-10-18,N/A
613,Section 5,No,09-10-2018,15-10-18,9:28:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,15-10-18,N/A
614,Section 5,No,15-10-2018,16-10-18,7:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-10-18,15-10-18,N/A
615,Section 1,No,16-10-2018,16-10-18,7:30:00 AM,Illness,Eyes,Other,Other,0,15-10-18,15-10-18,N/A
616,Section 5,No,11-10-2018,15-10-18,2:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,15-10-18,N/A
617,Section 5,No,12-10-2018,15-10-18,9:53:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,12-10-18,N/A
618,Section 5,No,12-10-2018,12-10-18,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,12-10-18,15-10-18,N/A
619,Section 5,No,12-10-2018,15-10-18,3:38:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,17-10-18,N/A
620,Section 2,No,12-10-2018,12-10-18,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-10-18,17-10-18,N/A
621,Section 4,No,16-10-2018,16-10-18,3:30:00 PM,Illness,N/A,N/A,N/A,0,27-11-18,27-11-18,N/A
622,Section 3,Yes,11-10-2018,12-10-18,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-11-18,27-11-18,Low
623,Section 5,Yes,12-10-2018,12-10-18,4:27:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,27-11-18,27-11-18,Low
624,Section 5,Yes,16-10-2018,16-10-18,1:26:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,16-01-19,16-01-19,Low
625,Section 4,No,15-10-2018,15-10-18,8:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,30-01-19,N/A
626,Section 4,No,15-10-2018,15-10-18,1:17:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,30-01-19,N/A
627,Section 4,No,15-10-2018,15-10-18,4:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-02-19,13-02-19,N/A
628,Section 4,No,12-10-2018,17-10-18,3:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-02-19,26-02-19,N/A
629,Section 4,No,12-10-2018,17-10-18,1:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-02-19,28-02-19,N/A
630,Section 4,No,12-10-2018,17-10-18,3:55:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,04-03-19,04-03-19,N/A
631,Section 4,No,13-10-2018,17-10-18,2:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,14-03-2019,14-03-2019,N/A
632,Section 4,No,15-10-2018,17-10-18,5:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-03-19,06-03-19,N/A
633,Section 4,No,15-10-2018,17-10-18,1:17:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,30-01-19,N/A
634,Section 4,No,15-10-2018,17-10-18,4:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-04-19,03-04-19,N/A
635,Section 5,No,15-10-2018,17-10-18,2:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-10-18,02-04-19,N/A
636,Section 5,No,15-10-2018,17-10-18,4:50:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-10-18,03-05-2019,N/A
637,Section 4,No,12-10-2018,15-10-18,3:55:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-05-2019,17-05-2019,N/A
638,Section 2,No,17-10-2018,17-10-18,3:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-05-19,29-05-19,High
639,Section 4,Yes,16-10-2018,17-10-18,2:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,23-07-19,23-07-19,Low
640,Section 4,Yes,17-10-2018,17-10-18,3:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,30-07-19,30-07-19,Low
641,Section 4,Yes,16-10-2018,18-10-18,3:30:00 PM,Injury,Back / Buttocks,Sprain / Strain ,Fall from height,0,30-07-19,30-07-19,Low
642,Section 4,Yes,18-10-2018,18-10-18,9:30:00 AM,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",0,30-07-19,30-07-19,Low
643,Section 4,Yes,17-10-2018,17-10-18,3:45:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,30-07-19,30-07-19,Low
644,Section 4,No,19-10-2018,19-10-18,3:46:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,30-07-19,30-07-19,Low
645,Section 4,No,19-10-2018,17-10-18,1:46:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
646,Section 2,No,24-10-2018,24-10-18,9:35:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
647,Section 4,No,20-10-2018,23-10-18,1:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
648,Section 4,No,20-10-2018,23-10-18,6:07:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
649,Section 4,No,21-10-2018,23-10-18,5:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
650,Section 4,No,21-10-2018,23-10-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
651,Section 4,No,24-10-2018,24-10-18,3:03:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
652,Section 4,No,25-10-2018,26-10-18,6:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,30-07-19,N/A
653,Section 4,Yes,23-10-2018,24-10-18,10:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Contact with moving machinery / power equipment,0,05-08-19,05-08-19,Medium
654,Section 1,N/A,24-10-2018,26-10-18,9:34:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck by a moving vehicle,0,06-08-19,06-08-19,N/A
655,Section 5,No,24-10-2018,26-10-18,10:07:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-08-19,06-08-19,N/A
656,Section 5,No,24-10-2018,26-10-18,4:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-2019,13-08-2019,N/A
657,Section 2,No,25-10-2018,26-10-18,6:02:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-2019,13-08-2019,N/A
658,Section 5,No,25-10-2018,26-10-18,5:21:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-2019,13-08-2019,N/A
659,Section 1,No,24-10-2018,24-10-18,6:04:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-08-19,16-08-19,N/A
661,Section 4,No,25-10-2018,25-10-18,11:20:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,22-08-19,22-08-19,N/A
662,Section 2,No,30-10-2018,30-10-18,7:48:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
663,Section 5,No,29-10-2018,30-10-18,6:24:00 PM,Road Traffic Accidents,Multiple injuries,Multiple Injuries,Struck against a fixed or stationary object,0,,,N/A
664,Section 4,Yes,31-10-2018,31-10-18,7:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,19-11-18,Medium
665,Section 1,Yes,31-10-2018,31-10-18,3:15:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,09-11-18,14-11-18,Medium
666,Section 4,Yes,01-11-2018,01-11-18,2:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-11-18,15-11-18,Medium
667,Section 4,Yes,31-10-2018,31-10-18,4:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-11-18,15-11-18,Medium
668,Section 4,Yes,02-11-2018,02-11-18,10:15:00 AM,Injury,Head,Head,"Slip, trip or fall on same level",0,16-11-18,13-11-18,Medium
669,Section 5,No,26-10-2018,02-11-18,2:55:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-11-18,02-11-18,Low
670,Section 5,No,29-10-2018,29-10-18,1:58:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,02-11-18,02-11-18,Low
671,Section 4,No,30-10-2018,01-11-18,7:40:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
672,Section 4,No,30-10-2018,01-11-18,6:05:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
673,Section 4,No,30-10-2018,01-11-18,5:26:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
674,Section 4,No,28-10-2018,01-11-18,4:07:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
675,Section 4,No,28-10-2018,01-11-18,9:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Buried / trapped by something collapsing ,0,30-10-18,30-10-18,N/A
676,Section 4,No,26-10-2018,01-11-18,1:55:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
677,Section 4,No,29-10-2018,01-11-18,1:58:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-10-18,30-10-18,N/A
678,Section 5,No,31-10-2018,31-10-18,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
679,Section 5,No,02-11-2018,02-11-18,3:22:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
680,Section 1,No,02-11-2018,02-11-18,6:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
681,Section 4,No,02-11-2018,02-11-18,6:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
682,Section 4,No,01-11-2018,02-11-18,4:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-11-18,01-11-18,N/A
683,Section 4,No,01-11-2018,02-11-18,6:35:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-11-18,01-10-18,N/A
684,Section 4,Yes,05-11-2018,05-11-18,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,19-11-18,22-11-18,Low
685,Section 5,No,06-11-2018,07-11-18,10:26:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
686,Section 5,No,06-11-2018,07-11-18,12:47:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-18,05-11-18,N/A
687,Section 3,Yes,03-11-2018,05-11-18,9:30:00 AM,Injury,Back / Buttocks,Bruise / Contusion,N/A,0,,16-11-18,Low
688,Section 2,No,07-11-2018,07-11-18,9:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,,07-12-18,Low
689,Section 4,Yes,07-11-2018,07-11-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-12-18,13-12-18,High
690,Section 2,No,08-11-2018,08-11-18,6:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,22-11-18,,N/A
691,Section 1,No,08-11-2018,08-11-18,3:57:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-11-18,08-11-18,N/A
692,Section 3,No,09-11-2018,12-11-18,3:00:00 PM,Injury,Eyes,Foreign Body,Exposed to dust ,0,26-11-18,23-11-18,Low
693,Section 4,Yes,13-11-2018,13-11-18,1:50:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,21-11-18,22-11-18,Medium
694,Section 4,Yes,07-11-2018,13-11-18,11:10:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-11-18,22-11-18,Low
695,Section 1,No,12-11-2018,12-11-2018,5:16:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,14-11-18,14-11-18,N/A
696,Section 2,No,13-11-2018,13-11-2018,1:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-11-18,14-11-18,N/A
697,Section 2,No,14-11-2018,14-11-18,3:50:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,28-11-18,15-11-18,N/A
698,Section 4,Yes,14-11-2018,14-11-18,3:15:00 PM,Utility Damage,N/A,N/A,N/A,0,28-11-18,22-11-18,High
699,Section 4,Yes,15-11-2018,15-11-18,10:18:00 AM,Utility Damage,N/A,N/A,N/A,0,29-11-18,15-11-18,Low
700,Section 4,Yes,15-11-2018,16-11-18,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,31-12-18,22-11-18,High
701,Section 2,No,18-11-2018,18-11-18,12:37:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
702,Section 4,No,16-11-2018,19-11-18,4:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,22-11-18,N/A
703,Section 4,Yes,16-11-2018,20-11-18,4:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,30-11-18,22-11-18,Low
704,Section 2,No,20-11-2018,20-11-18,1:37:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,04-12-18,21-11-18,N/A
705,Section 2,No,20-11-2018,20-11-18,5:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,04-12-18,22-11-18,N/A
706,Section 2,No,21-11-2018,22-11-18,11:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,06-12-18,21-12-18,Low
707,Section 3,Yes,21-11-2018,21-11-18,,Category 1 / 2 Near Miss,N/A,N/A,Other,0,05-12-18,03-12-18,Low
708,Section 5,No,21-11-2018,21-11-2018,10:55:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-11-18,21-11-18,N/A
709,Section 5,No,21-11-2018,21-11-2018,11:47:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-11-18,21-11-18,N/A
710,Section 5,No,21-11-2018,21-11-18,11:23:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-11-18,21-11-18,N/A
711,Section 4,No,22-11-2018,22-11-18,2:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-12-18,,Low
712,Section 4,Yes,23-11-2018,23-11-18,,Loss/Damage/Theft,N/A,N/A,N/A,0,,,Low
713,Section 2,Yes,23-11-2018,23-11-18,7:40:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,07-12-18,18-12-18,High
714,Section 1,Yes,23-11-2018,23-11-18,3:30:00 AM,Category 1 / 2 Near Miss,Back / Buttocks,Bruise / Contusion,Fall from height,0,,,Low
715,Section 4,No,26-11-2018,26-11-18,10:50:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,10-12-18,13-12-18,Low
716,Section 2,Yes,24-11-2018,26-11-18,11:00:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,,19-12-18,Low
717,Section 3,Yes,23-11-2018,23-11-18,2:30:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,07-12-18,07-12-18,Low
718,Section 1,Yes,23-11-2018,23-11-18,3:30:00 AM,Injury,Leg,Bruise / Contusion,Other,0,,27-11-18,Low
719,Section 4,No,28-11-2018,28-11-18,3:40:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,12-12-18,13-12-18,Low
720,Section 1,NO,26-11-2018,29-11-18,5:57:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,,29-11-18,
721,Section 5,N/a,26-11-2018,27-11-18,9:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-11-18,28-11-18,N/A
722,Section 5,NO,27-11-2018,27-11-18,11:56:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-11-18,28-11-18,N/A
723,Section 5,NO,27-11-2018,27-11-18,2:23:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-11-18,28-11-18,N/A
724,Section 2,Yes,29-11-2018,29-11-18,11:40:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck by a moving vehicle,0,14-01-19,14-12-18,Medium
725,Section 3,No,29-11-2018,29-11-18,5:30:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,29-11-18,29-11-18,N/A
726,Section 2,No,30-11-2018,30-11-18,1:00:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,N/A,0,,13-12-18,Low
727,Section 3,,,,,,,,,,,,
728,Section 2,Yes,03-12-2018,03-12-18,10:00:00 AM,Injury,Leg,Bruise / Contusion,"Slip, trip or fall on same level",0,17-12-18,17-12-18,Low
729,Section 4,Yes,30-11-2018,03-12-18,4:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,,19-12-18,Low
730,Section 4,No,04-12-2018,05-12-18,5:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
731,Section 3,Yes,07-12-2018,07-12-18,11:15:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,21-12-18,18-12-18,Low
732,Section 3,Yes,07-12-2018,07-12-18,1:10:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,21-12-18,18-12-18,Low
733,Section 5,No,06-12-2018,07-12-18,8:36:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-12-18,07-12-18,N/A
734,Section 5,No,06-12-2018,07-12-18,4:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-12-18,07-12-18,N/A
735,Section 2,Yes,06-12-2018,07-12-18,7:00:00 AM,Illness,Face,Other,Other,0,,17-12-18,Low
736,Section 3,Yes,08-12-2018,10-12-18,12:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,11-01-19,18-12-18,Low
737,Section 4,No,10-12-2018,10-12-2018,11:08:00 AM,Illness,N/A,"Illness / poisoning from infections, toxic or hazard",Other,0,24-12-18,11-12-18,N/A
738,Section 3,Yes,12-12-2018,12-12-18,9:30:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,26-12-18,19-12-18,Low
739,Section 4,Yes,11-12-2018,11-12-18,4:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,22-12-18,19-12-18,Medium
740,Section 4,No,12-12-2018,13-12-18,4:27:00 PM,Utility Damage,N/A,N/A,N/A,0,27-12-18,20-12-18,Low
741,Section 4,Yes,13-12-2018,13-12-18,10:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,02-01-19,High
742,Section 3,Yes,13-12-2018,13-12-18,3:35:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,27-12-18,20-12-18,Low
743,Section 4,Yes,15-12-2018,16-12-18,2:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-12-18,20-12-18,Medium
744,Section 4,Yes,17-12-2018,17-12-18,10:05:00 AM,Injury,Eyes,Cut / Laceration,"Injured by carrying, handling or lifting",0,31-12-18,19-12-18,Low
745,Section 4,Yes,14-12-2018,17-12-18,12:00:00 PM,Utility Damage,N/A,N/A,N/A,0,07-01-18,20-12-18,Low
746,Section 5,No,15-12-2018,18-12-18,12:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-12-18,,N/A
747,Section 4,Yes,18-12-2018,18-12-18,1:30:00 PM,Utility Damage,N/A,N/A,N/A,0,01-01-19,,Low
748,Section 4,No,18-12-2018,18-12-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,18-12-18,N/A
749,Section 4,No,15-12-2018,15-12-18,7:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/a,0,,,N/A
750,Section 2,No,14-12-2018,17-12-18,8:45:00 AM,Injury,Torso,Bruise / Contusion,N/A,0,,17-12-18,N/A
751,Section 5,No,19-12-2018,19-12-18,9:12:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-12-18,,N/A
752,Section 3,No,24-12-2018,02-01-19,3:00:00 PM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",0,08-01-19,08-01-19,Low
753,Section 5,Yes,04-01-2019,04-01-19,11:58:00 AM,Injury,Fingers / Thumbs,Fracture ,"Injured by carrying, handling or lifting",0,14-01-19,,Low
754,Section 2,No,20-12-2018,20-12-18,11:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,,,Low
755,Section 3,Yes,09-01-2019,09-01-19,10:30:00 AM,Injury,Fingers / Thumbs,Cut / Laceration,Other,0,26-01-19,15-01-19,Low
756,Section 2,No,08-01-2019,08-01-19,10:45:00 AM,Injury,Fingers / Thumbs,Abrasion,"Slip, trip or fall on same level",0,,,Low
757,Section 4,Yes,09-01-2019,09-01-19,12:00:00 PM,Utility Damage,N/A,N/A,N/A,0,,21-01-19,Medium
758,Section 2,Yes,09-01-2019,10-01-19,4:15:00 PM,Injury,Fingers / Thumbs,Fracture ,Other,0,,15-01-19,Low
759,Section 2,Yes,09-01-2019,10-01-19,5:30:00 PM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,,,Low
760,Section 2,Yes,14-01-2019,14-01-19,3:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,25-01-19,High
761,Section 1,NO,02-01-2019,14-01-19,1:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,15-01-19,Low
762,Section 5,No,15-01-2019,16-01-19,9:47:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-01-19,16-01-19,N/A
763,Section 1,No,16-01-2019,16-01-19,9:55:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,17-01-19,Low
764,Section 5,No,21-01-2019,21-01-19,10:00:00 AM,Injury,Fingers / Thumbs,Bruise / Contusion,Struck against a fixed or stationary object,0,,21-01-19,Low
765,Section 1,NO,21-01-2019,22-01-19,1:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,22-01-19,N/A
766,Section 2,Yes,18-01-2019,19-01-19,11:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,,01-02-19,Low
767,Section 4,No,23-01-2019,23-01-19,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,06-02-19,04-02-18,Low
768,Section 4,No,25-01-2019,26-01-19,4:05:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,08-02-19,28-01-19,N/A
769,Section 2,Yes,24-01-2019,24-01-19,4:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,07-02-19,06-02-19,Low
770,Section 5,No,28-01-2019,28-01-19,10:07:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-01-19,28-01-19,N/A
771,Section 5,No,29-01-2019,29-01-19,3:29:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-01-19,29-01-19,N/A
772,Section 5,No,30-01-2019,30-01-19,3:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,30-01-19,N/A
773,Section 5,No,30-01-2019,30-01-19,3:08:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,30-01-19,N/A
774,Section 4,No,30-01-2019,30-01-19,11:37:00 AM,Illness,Torso,Other,N/A,0,14-02-19,31-01-19,N/A
775,Section 4,Yes,30-01-2019,30-01-19,,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,14-02-19,,Medium
776,Section 3,No,31-01-2019,31-01-19,10:05:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,11-02-19,08-02-19,N/A
777,Section 3,Yes,01-02-2019,01-02-19,11:50:00 AM,Road Traffic Accidents,N/A,N/A,Struck by a moving vehicle,0,15-02-19,08-02-19,Low
778,Section 4,No,07-02-2019,07-02-19,12:20:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-02-19,,N/A
779,Section 4,No,07-02-2019,07-02-19,3:45:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,21-02-19,08-02-19,Low
780,Section 5,No,05-02-2019,05-02-19,4:21:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-02-19,,Low
